ds;city;pres;yhat_pres;yhat_upper_pres;yhat_lower_pres;anomaly_pres;prcp;yhat_prcp;yhat_upper_prcp;yhat_lower_prcp;anomaly_prcp
01.01.2020;Aachen;1032.4;1.020.813.698;1.033.187.609;1.008.751.359;0;0;0.679363206;4.209.900.257;-2.464.964.039;0
02.01.2020;Aachen;1027.1;1.018.766.486;1.031.207.184;1.006.785.114;0;0;147.469.287;4.765.959.691;-1.967.265.635;0
03.01.2020;Aachen;1020.7;1.018.893.847;1.030.019.794;1.007.526.366;0;01. Jan;0.885013204;407.141.036;-2.219.197.653;0
04.01.2020;Aachen;1031.6;1.020.226.201;1.032.538.813;1.008.652.942;0;0;0.968453674;4.302.368.263;-216.730.456;0
05.01.2020;Aachen;1035.3;1.019.670.508;1.030.934.618;1.008.113.415;1;0;1.285.610.631;44.449.995;-2.184.471.717;0
06.01.2020;Aachen;1027.4;1.019.689.073;1.031.329.223;1.007.424.625;0;0;0.919763047;4.178.598.508;-2.115.470.759;0
07.01.2020;Aachen;1026;1.019.964.958;1.031.384.413;100.898.519;0;0.3;1.391.486.933;4.840.857.639;-1.591.382.454;0
08.01.2020;Aachen;1024.2;1.019.617.833;1.030.898.544;1.008.263.749;0;03. Feb;1.266.672.684;4.327.577.061;-210.347.381;0
09.01.2020;Aachen;1015;1.019.042.692;1.030.830.786;100.701.043;0;05. Sep;1.320.753.025;463.358.699;-2.154.039.731;1
10.01.2020;Aachen;1019.1;1.019.262.992;1.030.705.803;1.007.719.562;0;01. Jan;0.752304823;4.071.155.477;-2.478.291.797;0
11.01.2020;Aachen;1031.3;1.020.695.349;1.032.389.384;1.009.540.574;0;0;0.860902989;4.590.009.113;-2.620.788.931;0
12.01.2020;Aachen;1023.5;1.020.243.744;1.031.629.676;1.007.958.812;0;0;1.206.696.346;4.337.228.928;-2.082.214.202;0
13.01.2020;Aachen;1017.8;1.020.367.203;1.031.540.269;1.008.093.126;0;0;0.872445058;4.177.309.878;-2.424.662.487;0
14.01.2020;Aachen;1007.4;1.020.745.312;1.032.145.273;1.008.975.949;1;0.1;1.378.146.017;4.593.112.014;-2.038.823.632;0
15.01.2020;Aachen;1012.7;1.020.494.171;1.032.874.674;1.009.224.354;0;0.6;1.289.062.511;4.428.420.564;-1.979.410.845;0
16.01.2020;Aachen;1024.2;1.020.005.223;103.055.889;1.007.697.046;0;0;1.379.965.568;4.645.841.861;-1.873.827.319;0
17.01.2020;Aachen;1017.2;1.020.298.506;1.031.641.986;1.008.205.641;0;0.4;0.848749909;4.060.108.535;-2.507.477.953;0
18.01.2020;Aachen;1025.7;102.178.745;1.033.178.073;1.010.487.627;0;0;0.994302403;4.153.220.682;-2.398.259.083;0
19.01.2020;Aachen;1038.1;1.021.373.187;1.033.686.439;1.008.892.446;1;0;1.376.092.547;4.856.563.375;-2.078.384.776;0
20.01.2020;Aachen;1046.8;1.021.512.318;1.032.893.523;1.010.691.414;1;0;1.076.224.221;4.563.014.058;-2.243.025.119;0
21.01.2020;Aachen;1042.8;1.021.882.501;1.033.758.425;1.009.807.595;1;0;1.614.074.765;4.879.434.421;-1.537.127.289;0
22.01.2020;Aachen;1037.7;1.021.598.474;1.032.839.823;1.009.682.219;1;0;1.554.337.388;4.851.608.182;-1.506.694.166;0
23.01.2020;Aachen;1031.9;1.021.050.923;1.032.803.879;1.008.875.583;0;0;1.671.273.997;4.785.893.033;-1.631.871.016;0
24.01.2020;Aachen;1024.5;1.021.259.765;1.032.753.175;1.009.428.579;0;0;1.162.341.124;4.392.366.395;-2.171.344.406;0
25.01.2020;Aachen;1022.1;1.022.638.953;103.379.275;1.010.942.387;0;0;1.326.066.602;4.822.469.058;-1.850.261.616;0
26.01.2020;Aachen;1016.8;1.022.090.777;1.033.900.417;1.010.964.739;0;0;1.721.646.351;5.118.933.516;-1.581.356.686;0
27.01.2020;Aachen;1007.1;1.022.073.603;1.032.629.965;1.010.209.585;1;02. Mrz;1.431.000.382;4.825.186.073;-1.895.367.411;0
28.01.2020;Aachen;996.9;1.022.267.418;1.033.508.589;101.020.001;1;2;1.973.413.987;5.280.898.274;-1.292.279.248;0
29.01.2020;Aachen;1008.2;1.021.789.793;1.034.026.795;1.009.702.863;1;0;191.358.011;5.409.715.343;-1.392.194.518;0
30.01.2020;Aachen;1009.7;1.021.034.675;1.032.690.315;1.009.757.247;1;0.5;202.585.002;5.303.472.328;-1.277.727.551;0
31.01.2020;Aachen;1009.6;1.021.025.588;1.032.656.984;1.009.496.588;0;0.1;1.507.855.033;5.085.493.465;-1.889.087.256;0
01.02.2020;Aachen;1006.4;1.022.180.339;1.032.975.727;1.010.581.938;1;07. Mai;1.658.377.093;4.858.813.577;-1.738.637.761;1
02.02.2020;Aachen;1010.2;1.021.405.222;1.032.798.847;1.009.916.304;0;02. Jun;2.036.937.742;5.393.239.274;-1.174.478.341;0
03.02.2020;Aachen;1013.3;1.021.162.654;1.032.580.239;1.009.956.012;0;03. Jul;1.725.844.813;5.028.504.862;-1.450.233.609;0
04.02.2020;Aachen;1015.2;1.021.136.612;1.032.397.038;100.937.313;0;7;2.244.823.088;5.249.538.828;-1.187.091.261;1
05.02.2020;Aachen;1034.9;1.020.448.498;1.030.993.665;1.008.847.018;1;0;2.159.045.191;5.633.598.241;-1.069.362.512;0
06.02.2020;Aachen;1033.1;1.019.495.835;1.031.499.061;1.007.590.288;1;0;224.337.015;5.714.720.378;-1.262.319.031;0
07.02.2020;Aachen;1026;1.019.305.381;1.030.590.851;1.007.013.682;0;0;1.695.952.706;5.057.687.961;-1.620.968.729;0
08.02.2020;Aachen;1020.3;1.020.297.757;1.032.086.039;1.008.966.166;0;0.4;1.816.101.492;5.060.106.321;-1.408.628.097;0
09.02.2020;Aachen;1007.5;1.019.381.591;1.031.286.277;1.008.543.693;1;01. Apr;2.163.855.934;5.502.734.513;-1.372.279.185;0
10.02.2020;Aachen;998.2;10.190.211;1.030.491.095;1.007.252.215;1;05. Apr;1.822.021.524;5.113.364.022;-1.416.508.184;1
11.02.2020;Aachen;1006;1.018.901.498;103.051.613;1.007.132.538;1;01. Mrz;2.310.789.972;5.611.863.866;-0.964915903;0
12.02.2020;Aachen;1014.9;1.018.144.841;1.028.877.338;1.005.416.503;0;0.2;2.195.760.769;5.564.552.489;-1.219.767.021;0
13.02.2020;Aachen;1005.3;1.017.148.726;1.028.453.674;1.005.350.812;1;02. Aug;2.252.171.814;5.557.444.944;-1.098.257.259;0
14.02.2020;Aachen;1018.4;1.016.939.412;1.028.905.415;1.005.605.564;0;0.1;1.678.502.349;5.084.274.704;-1.611.291.114;0
15.02.2020;Aachen;1018.3;1.017.936.492;1.028.814.659;1.005.833.792;0;0;177.432.646;5.192.658.317;-1.338.592.001;0
16.02.2020;Aachen;1006;1.017.047.071;10.301.472;1.006.173.844;1;02. Jun;2.099.887.076;5.392.614.453;-1.286.362.737;0
17.02.2020;Aachen;1014;1.016.733.414;1.027.665.198;1.005.913.761;0;01. Jan;1.738.130.126;5.016.689.851;-1.397.011.573;0
18.02.2020;Aachen;1021.5;1.016.678.418;102.829.194;1.005.377.348;0;0;2.209.325.364;5.550.304.704;-1.151.020.989;0
19.02.2020;Aachen;1019.4;1.016.159.773;1.028.753.052;1.003.937.924;0;02. Mrz;2.079.090.308;5.162.555.892;-1.138.861.904;0
20.02.2020;Aachen;1016.4;1.015.414.034;1.027.461.713;1.004.538.416;0;2;212.262.481;5.277.829.373;-1.186.870.257;0
21.02.2020;Aachen;1025.4;1.015.464.541;1.027.185.527;1.004.006.402;0;0.2;1.538.319.367;4.594.119.976;-1.842.885.024;0
22.02.2020;Aachen;1022.6;1.016.727.938;1.028.137.611;1.004.751.909;0;0.1;1.625.615.214;510.376.057;-1.813.101.168;0
23.02.2020;Aachen;1018.1;1.016.108.439;1.027.531.866;100.504.096;0;15. Aug;1.944.585.883;5.192.323.273;-1.173.780.674;1
24.02.2020;Aachen;1016.1;1.016.065.555;1.027.747.199;1.004.325.309;0;02. Feb;1.577.979.658;4.738.388.097;-1.822.330.596;0
25.02.2020;Aachen;1001.7;1.016.279.644;1.027.655.168;1.004.435.782;1;01. Sep;2.045.849.145;5.147.974.754;-1.394.623.113;0
26.02.2020;Aachen;999.9;1.015.867.895;1.027.242.623;1.004.544.603;1;02. Jun;1.913.584.111;4.947.456.859;-1.419.638.301;0
27.02.2020;Aachen;1001.9;1.015.223.168;102.714.972;1.003.749.932;1;09. Aug;1.956.154.847;5.050.222.189;-1.400.631.646;1
28.02.2020;Aachen;1013.8;1.015.367.245;1.026.887.943;1.004.279.523;0;01. Aug;1.371.728.873;4.756.789.685;-2.017.401.852;0
29.02.2020;Aachen;995.8;1.016.715.608;1.028.549.297;1.005.521.393;1;0.9;1.459.538.758;4.962.499.513;-2.132.702.386;0
01.03.2020;Aachen;995.2;1.016.171.731;1.027.550.884;1.004.747.872;1;03. Apr;1.779.470.537;5.240.176.384;-1.238.164.074;0
02.03.2020;Aachen;991.4;1.016.194.794;1.028.262.552;1.004.847.107;1;05. Mai;1.414.111.916;4.897.081.677;-1.715.245.361;1
03.03.2020;Aachen;1003.2;101.646.523;1.028.217.943;1.004.937.601;1;0.7;1.883.386.329;5.185.243.529;-1.350.231.201;0
04.03.2020;Aachen;1010.8;1.016.100.673;1.027.701.207;100.468.654;0;0;175.258.888;5.039.524.596;-148.543.666;0
05.03.2020;Aachen;995;1.015.494.764;1.027.734.315;100.446.401;1;12. Jun;1.796.631.343;4.943.636.459;-1.626.308.719;1
06.03.2020;Aachen;995.9;1.015.670.349;1.028.030.143;1.003.956.841;1;09. Jan;1.213.658.993;4.598.590.989;-1.964.739.498;1
07.03.2020;Aachen;1017.4;1.017.044.204;1.028.243.172;1.005.514.384;0;0;1.302.917.079;4.271.687.121;-1.950.694.624;0
08.03.2020;Aachen;1013.6;1.016.521.251;1.028.285.882;1.004.720.755;0;01. Feb;1.624.336.465;4.999.821.164;-2.031.652.512;0
09.03.2020;Aachen;1012.9;1.016.562.215;1.028.610.303;1.005.418.579;0;0;1.260.577.749;460.386.666;-2.190.575.312;0
10.03.2020;Aachen;1008.3;1.016.849.087;1.028.545.519;1.005.631.133;0;18. Mai;1.731.660.083;5.184.963.937;-1.757.563.269;1
11.03.2020;Aachen;1012.3;1.016.501.009;102.822.613;1.004.941.555;0;14. Mrz;1.602.990.899;5.028.718.518;-1.547.856.871;1
